counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
565,-244,395,-2010,603,-224,-121,392433107,30036048,500219893,0.964844,2959,13.462186,88.045784
566,-244,395,-2010,603,-224,-121,392433107,30036048,500219893,0.964844,2959,13.462186,88.045784
567,-244,395,-2010,603,-224,-121,392433107,30036048,500219893,0.964844,2959,13.462186,88.045784
568,-265,411,-2027,51,-343,-66,392433104,30036046,500219895,0.964844,35715,0,82.753807
569,-265,411,-2027,51,-343,-66,392433104,30036046,500219895,0.964844,35715,0,82.753807
570,-265,411,-2027,51,-343,-66,392433104,30036046,500219895,0.964844,35715,0,82.753807
571,-364,401,-2166,-775,-133,-604,392433101,30036043,500219897,0.957031,2897,-62.289322,47.389042
572,-364,401,-2166,-775,-133,-604,392433101,30036043,500219897,0.957031,2897,-62.289322,47.389042
573,-364,401,-2166,-775,-133,-604,392433101,30036043,500219897,0.957031,2897,-62.289322,47.389042
574,-434,398,-2390,-815,104,-457,392433099,30036040,500219899,0.957031,35706,-66.604126,84.018135
575,-434,398,-2390,-815,104,-457,392433099,30036040,500219899,0.957031,35706,-66.604126,84.018135
576,-434,398,-2390,-815,104,-457,392433099,30036040,500219899,0.957031,35706,-66.604126,84.018135
577,-462,415,-2637,-605,-112,64,392433098,30036037,500219900,0.960938,2958,-54.818546,65.603447
578,-462,415,-2637,-605,-112,64,392433098,30036037,500219900,0.960938,2958,-54.818546,65.603447
579,-462,415,-2637,-605,-112,64,392433098,30036037,500219900,0.960938,2958,-54.818546,65.603447
